,NDC-SEM,SEM-UCB,FTRL,CUCB,Random,CTS
0,3.0,3.0,-3.4683144803096564,0.0,2.0,-2.4683144803096564
1,2.0,2.0,0.5825749163495404,0.5825749163495404,0.5825749163495404,0.5825749163495404
2,1.0,1.0,2.0,2.0,2.0,2.0
3,0.0,0.0,2.0,2.0,1.0,2.0
4,0.0,0.0,2.0,2.0,3.0,2.0
5,1.0,1.0,0.4204024547408891,0.4204024547408891,1.0,0.4204024547408891
6,1.0,2.0,2.0,2.0,2.0,2.0
7,2.0,2.0,2.0,2.0,-2.4683144803096564,2.0
8,1.0,2.0,0.5825749163495404,0.5825749163495404,4.0,0.5825749163495404
9,3.0,2.0,2.0,2.0,3.0,2.0
10,1.0,2.0,1.0,3.0,1.0,1.0
11,3.0,2.420402454740889,2.0,2.420402454740889,0.4204024547408891,3.0
12,2.0,1.0,2.0,3.0,3.0,1.0
13,-0.5795975452591109,2.0,-0.5795975452591109,1.0,1.0,1.0
14,1.0,0.0,2.0,2.0,3.0,3.0
15,2.0,3.0,-2.4683144803096564,2.0,3.0,-1.4683144803096564
16,1.0,2.0,-0.09195958091332024,2.0,-0.09195958091332024,2.0
17,2.0,1.0,2.0,1.5825749163495404,1.0,1.0
18,-5.468314480309656,-5.047912025568767,-0.5795975452591109,-4.468314480309656,0.0,-1.579597545259111
19,3.0,3.0,1.0,1.487637964345791,2.0,2.0
20,1.5825749163495402,0.5825749163495404,2.0,-0.4174250836504596,-0.4174250836504596,2.0
21,1.0,-0.4174250836504596,2.0,-1.4174250836504596,0.0,-0.4174250836504596
22,3.0,3.0,4.0,2.0,2.0,3.0
23,2.0,3.0,4.0,1.0,2.0,2.0
24,2.0,2.0,3.0,2.0,2.0,1.0
25,3.0,1.0,2.0,1.0,2.0,2.0
26,2.0,2.0,2.0,1.0,2.0,2.0
27,2.0,2.0,3.0,1.0,4.0,2.0
28,1.0,2.0,2.0,3.0,2.0,3.0
29,2.0,0.4204024547408891,2.0,0.4204024547408891,2.0,0.4204024547408891
30,1.487637964345791,1.0,2.0,-0.5123620356542089,1.0,1.0
31,2.0,0.0,4.0,2.0,1.0,2.0
32,1.0,1.0,0.5825749163495404,2.0,2.0,1.0
33,2.0,2.0,3.0,1.0,2.0,3.0
34,0.4204024547408891,0.4204024547408891,0.0,0.4204024547408891,0.4204024547408891,-0.5795975452591109
35,2.0,1.0,1.0,1.0,0.0,2.0
36,3.0,2.0,2.0,2.0,2.0,2.0
37,2.0,2.0,3.0,2.0,2.0,2.0
38,1.0,2.0,1.0,-0.5123620356542089,-1.0,1.0
39,3.0,3.0,3.0,2.0,1.0,2.0
40,2.0,-2.4683144803096555,2.0,-4.468314480309656,-1.4683144803096555,-2.4683144803096564
41,2.0,0.4204024547408891,1.0,1.0,-1.0,-0.5795975452591109
42,0.4204024547408891,-1.4683144803096555,-2.4683144803096564,0.4204024547408891,0.4204024547408891,2.0
43,2.0,0.4204024547408891,1.0,-2.047912025568767,-3.4683144803096564,-1.4683144803096564
44,0.4204024547408891,1.420402454740889,0.4876379643457911,1.420402454740889,-0.09195958091332024,0.4204024547408891
45,1.0,0.0,2.0,-0.5795975452591109,0.4204024547408891,2.0
46,1.0,2.0,-2.885739563960115,1.0,0.0,-2.4683144803096555
47,1.0,0.0,-0.4174250836504596,1.0,0.0,1.0
48,2.0,2.0,2.0,3.0,3.0,1.0
49,1.0,3.0,3.0,1.0,2.0,1.0
50,1.0,2.0,-0.5795975452591104,4.0,1.420402454740889,0.4204024547408891
51,2.0,2.0,2.0,1.0,1.0,1.0
52,2.0,1.0,2.0,3.0,0.0,1.0
53,3.0,2.0,1.0,2.0,1.0,1.0
54,2.0,2.0,2.0,3.0,2.0,3.0
55,1.0,1.0,1.0,3.0,2.0,2.0
56,2.0,2.0,2.0,2.0,2.0,3.0
57,2.0,1.0,2.0,1.0,1.0,3.0
58,1.0,2.0,2.0,1.0,2.0,2.0
59,2.0,4.0,2.0,3.0,2.0,1.0
60,1.0,1.0,2.0,1.0,2.0,2.0
61,1.0,-0.5795975452591109,-3.047912025568767,-0.4174250836504596,0.4204024547408891,-3.047912025568767
62,2.0,2.0,3.0,1.0,0.0,3.0
63,1.0,2.0,3.0,3.0,2.0,3.0
64,3.0,1.0,4.0,1.0,2.0,2.0
65,1.0,1.0,2.0,0.5825749163495404,0.5825749163495404,-0.4174250836504596
66,3.0,1.0,2.0,3.0,3.0,2.0
67,0.0,3.0,0.0,3.0,1.0,3.0
68,1.420402454740889,3.0,0.4204024547408891,2.0,1.0,1.420402454740889
69,-0.5795975452591109,0.4204024547408891,1.0,1.0,0.4204024547408891,1.420402454740889
70,2.0,2.0,1.0,3.0,1.0,3.0
71,3.0,1.0,2.0,2.0,2.0,2.0
72,1.0,-2.4683144803096564,1.0,-1.4683144803096564,1.0,2.0
73,0.0,2.0,1.0,1.487637964345791,-3.9806765159638644,-3.4683144803096564
74,0.5825749163495404,2.0,1.0,-0.9297871193046685,0.4876379643457911,0.4876379643457911
75,0.5825749163495404,2.0,0.5825749163495404,2.0,2.0,1.0
76,3.0,2.0,2.0,2.0,2.0,1.0
77,3.0,2.0,0.4876379643457911,3.0,2.487637964345791,2.0
78,1.0,2.0,3.0,1.0,0.0,2.0
79,2.0,1.0,3.0,2.0,2.0,2.0
80,1.0,-2.4683144803096564,1.0,-1.4683144803096555,-2.4683144803096564,3.0
81,4.0,2.0,2.0,2.0,2.0,3.0
82,2.0,3.0,3.0,2.0,3.0,3.0
83,1.0,2.0,1.0,1.0,1.0,1.0
84,2.0,3.0,1.0,2.0,2.0,2.0
85,1.0,0.5825749163495404,3.0,-0.4174250836504596,2.0,0.0
86,1.0,3.0,2.0,2.0,2.0,3.0
87,2.0,0.0,2.0,0.0,2.0,1.0
88,1.0,2.0,1.0,0.4204024547408891,2.0,3.0
89,1.0,1.0,2.0,1.0,2.0,3.0
90,1.0,3.0,3.0,2.0,2.0,4.0
91,1.0,1.0,1.0,2.0,2.0,1.0
92,2.0,1.0,0.5825749163495404,2.0,4.0,1.0
93,0.4876379643457911,2.0,3.0,-0.09195958091332024,1.487637964345791,-0.5123620356542089
94,2.0,2.0,3.0,1.0,2.0,2.0
95,-1.579597545259111,2.0,0.0,0.4204024547408891,1.0,2.0
96,1.0,1.0,0.0,1.0,1.0,1.0
97,1.0,2.0,4.0,1.0,2.0,3.0
98,0.0029773710904290596,2.0,1.420402454740889,0.5825749163495404,1.5825749163495404,0.4204024547408891
99,0.5825749163495402,2.0,-0.4174250836504596,1.0,0.0,0.0
100,1.0,1.0,1.0,3.0,2.0,2.0
101,3.0,-2.4683144803096555,-2.4683144803096564,1.0,-3.4683144803096555,-1.4683144803096555
102,-0.9970226289095709,-0.5795975452591109,0.0,1.5825749163495402,0.4204024547408891,0.0029773710904290596
103,2.0,2.0,3.0,1.0,2.0,2.0
104,0.0,-1.4174250836504598,0.0,-1.4174250836504598,0.0,0.0
105,2.0,1.0,0.5825749163495404,2.0,1.5825749163495404,0.5825749163495404
106,2.0,0.0,1.0,2.0,2.0,1.0
