,NDC-SEM,SEM-UCB,FTRL,CUCB,Random,CTS
0,3.0,3.0,-3.4683144803096564,0.0,-2.4683144803096564,-2.4683144803096564
1,2.0,2.0,0.5825749163495404,0.5825749163495404,3.0,0.5825749163495404
2,1.0,1.0,2.0,2.0,1.420402454740889,2.0
3,0.0,0.0,2.0,2.0,2.0,2.0
4,0.0,0.0,2.0,2.0,2.0,2.0
5,1.0,0.0,0.4204024547408891,0.4204024547408891,0.5825749163495404,0.4204024547408891
6,1.0,2.0,2.0,2.0,2.0,2.0
7,2.0,2.0,2.0,2.0,1.0,2.0
8,1.0,2.0,0.5825749163495404,0.5825749163495404,0.5825749163495404,0.5825749163495404
9,3.0,1.0,2.0,2.0,1.0,2.0
10,1.0,1.0,1.0,3.0,3.0,1.0
11,3.0,3.0,2.0,2.420402454740889,2.0,3.0
12,2.0,1.0,2.0,3.0,0.0,1.0
13,-0.5795975452591109,1.0,-0.5795975452591109,1.0,-0.5795975452591109,1.0
14,1.0,3.0,2.0,2.0,3.0,3.0
15,2.0,3.0,-2.4683144803096564,2.0,2.0,-1.4683144803096564
16,1.0,1.420402454740889,-0.09195958091332024,2.0,1.487637964345791,2.0
17,2.0,3.0,2.0,1.5825749163495404,2.0,1.0
18,-5.468314480309656,-5.047912025568767,-0.5795975452591109,-4.468314480309656,-0.5795975452591109,-1.579597545259111
19,3.0,2.487637964345791,1.0,1.487637964345791,2.0,2.0
20,1.5825749163495402,0.5825749163495404,2.0,-0.4174250836504596,0.0,2.0
21,1.0,-1.4174250836504596,2.0,-1.4174250836504596,-0.4174250836504596,-0.4174250836504596
22,3.0,2.0,4.0,2.0,2.0,3.0
23,2.0,2.0,4.0,1.0,3.0,2.0
24,2.0,2.0,3.0,2.0,2.0,1.0
25,3.0,2.0,2.0,1.0,1.0,2.0
26,2.0,2.0,2.0,1.0,1.0,2.0
27,2.0,3.0,3.0,1.0,4.0,2.0
28,1.0,1.0,2.0,3.0,2.0,3.0
29,2.0,1.0,2.0,0.4204024547408891,0.4204024547408891,0.4204024547408891
30,1.487637964345791,1.0,2.0,-0.5123620356542089,1.0,1.0
31,2.0,2.0,4.0,2.0,2.0,2.0
32,1.0,1.0,0.5825749163495404,2.0,1.0,1.0
33,2.0,2.0,3.0,1.0,2.0,3.0
34,0.4204024547408891,1.0,0.0,0.4204024547408891,1.0,-0.5795975452591109
35,2.0,1.0,1.0,1.0,1.0,2.0
36,3.0,2.0,2.0,2.0,3.0,2.0
37,2.0,2.0,3.0,2.0,2.0,2.0
38,1.0,2.0,1.0,-0.5123620356542089,1.0,1.0
39,3.0,2.0,3.0,2.0,2.0,2.0
40,2.0,2.0,2.0,-4.468314480309656,1.0,-2.4683144803096564
41,2.0,0.4204024547408891,1.0,1.0,-0.5795975452591109,-0.5795975452591109
42,0.4204024547408891,-3.4683144803096555,-2.4683144803096564,0.4204024547408891,-1.4683144803096555,2.0
43,2.0,3.0,1.0,-2.047912025568767,-2.4683144803096564,-1.4683144803096564
44,0.4204024547408891,0.4204024547408891,0.4876379643457911,1.420402454740889,1.420402454740889,0.4204024547408891
45,1.0,2.0,2.0,-0.5795975452591109,1.0,2.0
46,1.0,-3.4683144803096555,-2.885739563960115,1.0,1.0,-2.4683144803096555
47,1.0,1.0,-0.4174250836504596,1.0,0.0,1.0
48,2.0,3.0,2.0,3.0,2.0,1.0
49,1.0,2.0,3.0,1.0,2.0,1.0
